,company,id,year,net_sales,op_profit_ebit,prof_after_net_fin_items,results,fixed_assets,current_assets,lt_liabilities,curr_liabilities,revenue,num_employes,op_prof_ebitda,prof_margin,gross_prof,quick_ratio,default,actual_status,date,Blanks
0,A Bergman RÃ¶r AB,5567988125,2011,8419,-143,-186,-186,292,816,415,728,8537,9,-70,-1.0,0.5918,1.1209,0,Inactive,2011-12-31,0
1,Ã„lvsby Bygg & PlÃ¥tslageri Aktiebolag,5563491892,2019,7465,-755,-966,10,10366,7385,3806,8956,7674,4,1267,-1.0,1.0,0.824599999999999,0,Active,2019-12-31,0
2,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2019,11544,601,599,361,0,2902,0,1969,11706,16,624,0.0521999999999999,0.9057,1.4738,0,Active,2019-12-31,0
3,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2018,9951,585,587,456,23,2712,0,2163,10008,14,608,0.0591,1.0,1.2538,0,Active,2018-12-31,0
4,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2017,9018,1199,1238,1156,61,2263,36,1772,9115,12,1229,0.1376,1.0,1.2771,0,Active,2017-12-31,0
5,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2016,8558,-231,-228,-228,91,1123,63,1792,8710,14,-201,-1.0,1.0,0.6267,0,Active,2016-12-31,0
6,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2015,8108,-663,-664,-664,243,782,76,1361,8156,16,-626,-1.0,0.9968,0.5746,0,Active,2015-12-31,0
7,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2014,9116,160,161,140,128,1414,0,1291,9161,13,178,0.0178,1.0,1.0953,0,Active,2014-12-31,0
8,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2013,9530,-89,-91,-90,147,1056,0,1092,9584,9,-65,-1.0,1.0,0.967,0,Active,2013-12-31,0
9,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2012,2836,186,186,136,49,671,0,482,2836,5,204,0.0655999999999999,1.0,1.3921,0,Active,2012-12-31,0
10,14 energy Eklund & Eklund energideklarationer     i SkÃ¥ne AB,5568089774,2011,590,70,70,52,67,92,0,58,590,1,93,0.1186,1.0,1.5862,0,Active,2011-12-31,0
11,191919 Bolag 20209 AB,5567530182,2019,29056,237,257,257,369,2796,200,1581,29944,1,308,0.00989999999999999,0.0184,1.7685,1,Inactive,2019-12-31,0
12,191919 Bolag 20209 AB,5567530182,2018,3849,962,1065,1065,1339,4341,850,1804,3855,1,1039,0.2803,0.5513,2.3609,0,Inactive,2018-12-31,0
